time,rank,surrogate,generation,epoch,paramsID,avg_validation_loss
1707581276.9931,1,DynamicSurrogate,0,0,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.4342579987487639
1707581304.6775885,1,DynamicSurrogate,0,1,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.33739210875861647
1707581332.2960083,1,DynamicSurrogate,0,2,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.3024943937217943
1707581359.928808,1,DynamicSurrogate,0,3,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.2912200559066275
1707581387.5026689,1,DynamicSurrogate,0,4,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.28304334634850276
1707581415.1514626,1,DynamicSurrogate,0,5,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.264363159796106
1707581442.7291226,1,DynamicSurrogate,0,6,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.25171788864764205
1707581470.2449965,1,DynamicSurrogate,0,7,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.24417058788720283
1707581497.7892673,1,DynamicSurrogate,0,8,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.23263524501412658
1707581525.3573203,1,DynamicSurrogate,0,9,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.2216564399672119
1707581598.3358953,1,DynamicSurrogate,1,0,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.2658747278798386
1707581630.9362338,1,DynamicSurrogate,1,1,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.20096031591466812
1707581663.6356347,1,DynamicSurrogate,1,2,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.1702980872472644
1707581696.2948797,1,DynamicSurrogate,1,3,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.12498420947641793
1707581728.918772,1,DynamicSurrogate,1,4,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.09500627513662797
1707581761.5586278,1,DynamicSurrogate,1,5,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.07908775158318411
1707581794.2026286,1,DynamicSurrogate,1,6,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.07200556588170028
1707581826.8638628,1,DynamicSurrogate,1,7,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.07390187737289673
1707581859.5470674,1,DynamicSurrogate,1,8,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.0657578831740849
1707581892.2447827,1,DynamicSurrogate,1,9,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.060267926267735854
1707581925.3703864,1,DynamicSurrogate,2,0,conv_layers=9#activation=relu#lr=0.01,0.2199255300140958
1707581958.3651822,1,DynamicSurrogate,2,1,conv_layers=9#activation=relu#lr=0.01,0.09645904982476185
1707581991.299646,1,DynamicSurrogate,2,2,conv_layers=9#activation=relu#lr=0.01,0.0659472028070027
1707582024.2347481,1,DynamicSurrogate,2,3,conv_layers=9#activation=relu#lr=0.01,0.07205241819443613
1707582057.2059603,1,DynamicSurrogate,2,4,conv_layers=9#activation=relu#lr=0.01,0.04462340040545354
1707582090.1129856,1,DynamicSurrogate,2,5,conv_layers=9#activation=relu#lr=0.01,0.04291342352935998
1707582123.0526102,1,DynamicSurrogate,2,6,conv_layers=9#activation=relu#lr=0.01,0.0457566342277245
1707582156.026089,1,DynamicSurrogate,2,7,conv_layers=9#activation=relu#lr=0.01,0.045834727940871386
1707582188.9299397,1,DynamicSurrogate,2,8,conv_layers=9#activation=relu#lr=0.01,0.046594256943956296
1707582222.1237628,1,DynamicSurrogate,2,9,conv_layers=9#activation=relu#lr=0.01,0.041318133007022
1707582254.5372987,1,DynamicSurrogate,3,0,conv_layers=8#activation=relu#lr=0.01,0.24734524266590946
1707582286.771918,1,DynamicSurrogate,3,1,conv_layers=8#activation=relu#lr=0.01,0.09775698139012196
1707582319.0450127,1,DynamicSurrogate,3,2,conv_layers=8#activation=relu#lr=0.01,0.07137559959703496
1707582351.203083,1,DynamicSurrogate,3,3,conv_layers=8#activation=relu#lr=0.01,0.07381400535968813
1707582383.2525985,1,DynamicSurrogate,3,4,conv_layers=8#activation=relu#lr=0.01,0.054521125317494805
1707582415.4440942,1,DynamicSurrogate,3,5,conv_layers=8#activation=relu#lr=0.01,0.05422272095579329
1707582447.6211607,1,DynamicSurrogate,3,6,conv_layers=8#activation=relu#lr=0.01,0.04872442445342285
1707582479.811997,1,DynamicSurrogate,3,7,conv_layers=8#activation=relu#lr=0.01,0.04827202942353227
1707582512.0178614,1,DynamicSurrogate,3,8,conv_layers=8#activation=relu#lr=0.01,0.052924572557577855
1707582544.2000585,1,DynamicSurrogate,3,9,conv_layers=8#activation=relu#lr=0.01,0.05302219193247897
1707582576.403084,1,DynamicSurrogate,4,0,conv_layers=8#activation=relu#lr=0.01,0.212978105792544
1707582608.7163289,1,DynamicSurrogate,4,1,conv_layers=8#activation=relu#lr=0.01,0.12723899143552492
1707582640.8006938,1,DynamicSurrogate,4,2,conv_layers=8#activation=relu#lr=0.01,0.10327502047596858
1707582673.037804,1,DynamicSurrogate,4,3,conv_layers=8#activation=relu#lr=0.01,0.08776844906981879
1707582705.152659,1,DynamicSurrogate,4,4,conv_layers=8#activation=relu#lr=0.01,0.10526732530190938
1707582737.3720906,1,DynamicSurrogate,4,5,conv_layers=8#activation=relu#lr=0.01,0.06802080550345938
1707582769.5473304,1,DynamicSurrogate,4,6,conv_layers=8#activation=relu#lr=0.01,0.06596712294060848
1707582801.7056606,1,DynamicSurrogate,4,7,conv_layers=8#activation=relu#lr=0.01,0.056254679637092866
1707582833.8836021,1,DynamicSurrogate,4,8,conv_layers=8#activation=relu#lr=0.01,0.06860816986083551
1707582866.2816558,1,DynamicSurrogate,4,9,conv_layers=8#activation=relu#lr=0.01,0.053274868723162346
1707582898.5873864,1,DynamicSurrogate,5,0,conv_layers=8#activation=relu#lr=0.01,2.1515273610830308
1707582930.7184622,1,DynamicSurrogate,6,0,conv_layers=8#activation=sigmoid#lr=0.01,2.3063198655366897
1707582957.9357624,1,DynamicSurrogate,7,0,conv_layers=2#activation=relu#lr=0.01,0.1425674264347028
1707582984.8881896,1,DynamicSurrogate,7,1,conv_layers=2#activation=relu#lr=0.01,0.08699651120084913
1707583011.8261936,1,DynamicSurrogate,7,2,conv_layers=2#activation=relu#lr=0.01,0.07129806107208127
1707583038.7252207,1,DynamicSurrogate,7,3,conv_layers=2#activation=relu#lr=0.01,0.06748106720266794
1707583065.711405,1,DynamicSurrogate,7,4,conv_layers=2#activation=relu#lr=0.01,0.061528492300598224
1707583092.6428163,1,DynamicSurrogate,7,5,conv_layers=2#activation=relu#lr=0.01,0.059066199868893776
1707583119.6277897,1,DynamicSurrogate,7,6,conv_layers=2#activation=relu#lr=0.01,0.05628631546944873
1707583146.537195,1,DynamicSurrogate,7,7,conv_layers=2#activation=relu#lr=0.01,0.05809143195754687
1707583173.5759795,1,DynamicSurrogate,7,8,conv_layers=2#activation=relu#lr=0.01,0.05880101599933053
