time,rank,surrogate,generation,epoch,paramsID,avg_validation_loss
1707591133.4235115,1,StaticSurrogate,0,0,lr=0.0016104060043213957#perm=ABC,0.7960228667191687
1707591171.2647302,1,StaticSurrogate,0,1,lr=0.0016104060043213957#perm=ABC,0.6406671070439931
1707591209.042721,1,StaticSurrogate,0,2,lr=0.0016104060043213957#perm=ABC,0.5527806426162206
1707591246.779148,1,StaticSurrogate,0,3,lr=0.0016104060043213957#perm=ABC,0.6052866173964816
1707591284.5230312,1,StaticSurrogate,0,4,lr=0.0016104060043213957#perm=ABC,0.5947061729155505
1707591322.2848063,1,StaticSurrogate,0,5,lr=0.0016104060043213957#perm=ABC,0.46537258835527573
1707591360.0319397,1,StaticSurrogate,0,6,lr=0.0016104060043213957#perm=ABC,0.5467545826059845
1707591397.7872229,1,StaticSurrogate,0,7,lr=0.0016104060043213957#perm=ABC,0.5094521356669697
1707591435.555376,1,StaticSurrogate,0,8,lr=0.0016104060043213957#perm=ABC,0.6096270377970405
1707591473.3254042,1,StaticSurrogate,0,9,lr=0.0016104060043213957#perm=ABC,0.5030787065425779
1707591513.0061994,1,StaticSurrogate,1,0,lr=0.005095192637789785#perm=BCA,1.1574998205931502
1707591551.015951,1,StaticSurrogate,1,1,lr=0.005095192637789785#perm=BCA,1.007717855931953
1707591891.2648878,1,StaticSurrogate,2,0,lr=0.01#perm=BCA,1.3017518263959529
1707591930.7362027,1,StaticSurrogate,3,0,lr=0.01#perm=ABC,1.2558889525204409
1707591968.5858417,1,StaticSurrogate,3,1,lr=0.01#perm=ABC,0.9639788547320636
1707592007.9865248,1,StaticSurrogate,4,0,lr=0.01#perm=ABC,1.1240096725185402
1707592045.792901,1,StaticSurrogate,4,1,lr=0.01#perm=ABC,0.8925605015901409
1707592085.2433875,1,StaticSurrogate,5,0,lr=0.01#perm=ABC,1.1145209528307831
1707592123.0286622,1,StaticSurrogate,5,1,lr=0.01#perm=ABC,0.8867821385884974
1707592162.5893214,1,StaticSurrogate,6,0,lr=0.01#perm=BCA,1.4826660405192695
1707592200.537045,1,StaticSurrogate,6,1,lr=0.01#perm=BCA,1.0138315062855852
1707592240.0802004,1,StaticSurrogate,7,0,lr=0.01#perm=CBA,23.26866099310443
1707592316.1705694,1,StaticSurrogate,8,0,lr=0.01#perm=ACB,0.9461383533381073
1707592353.844264,1,StaticSurrogate,8,1,lr=0.01#perm=ACB,0.8581310608469638
1707592393.259553,1,StaticSurrogate,9,0,lr=0.01#perm=ABC,1.2141224373047226
1707592431.0249217,1,StaticSurrogate,9,1,lr=0.01#perm=ABC,0.9330933950543562
1707592470.7888918,1,StaticSurrogate,10,0,lr=0.01#perm=BCA,1.3684207977806155
1707592508.7351682,1,StaticSurrogate,10,1,lr=0.01#perm=BCA,1.27234314719542
1707592548.2018957,1,StaticSurrogate,11,0,lr=0.01#perm=ABC,1.138314976016768
1707592586.0489144,1,StaticSurrogate,11,1,lr=0.01#perm=ABC,0.8671583255845926
1707592625.5909889,1,StaticSurrogate,12,0,lr=0.004544811546122538#perm=BAC,1.5307235768240184
1707592663.4221573,1,StaticSurrogate,12,1,lr=0.004544811546122538#perm=BAC,1.1133331639081763
1707592702.8022952,1,StaticSurrogate,13,0,lr=0.01#perm=ABC,1.2163287076067186
1707592740.6060514,1,StaticSurrogate,13,1,lr=0.01#perm=ABC,0.9150432405779764
1707592780.1369681,1,StaticSurrogate,14,0,lr=0.01#perm=BCA,1.6250430731824494
1707592817.9812434,1,StaticSurrogate,14,1,lr=0.01#perm=BCA,0.9867287895113088
1707592857.3937027,1,StaticSurrogate,15,0,lr=0.01#perm=ABC,1.1786646658714308
1707592895.1633258,1,StaticSurrogate,15,1,lr=0.01#perm=ABC,0.9942666051853372
1707592934.4524333,1,StaticSurrogate,16,0,lr=0.01#perm=ACB,1.0455510978293696
1707592972.0352664,1,StaticSurrogate,16,1,lr=0.01#perm=ACB,0.8068914063439188
