time,rank,surrogate,generation,epoch,paramsID,avg_validation_loss
1707594027.713238,1,DefaultSurrogate,0,0,lr=0.0016104060043213957#perm=ABC,0.7960228667191687
1707594065.8230407,1,DefaultSurrogate,0,1,lr=0.0016104060043213957#perm=ABC,0.6406671070439931
1707594103.8022308,1,DefaultSurrogate,0,2,lr=0.0016104060043213957#perm=ABC,0.5527806426162206
1707594141.9869883,1,DefaultSurrogate,0,3,lr=0.0016104060043213957#perm=ABC,0.6052866173964816
1707594180.1196299,1,DefaultSurrogate,0,4,lr=0.0016104060043213957#perm=ABC,0.5947061729155505
1707594218.1467843,1,DefaultSurrogate,0,5,lr=0.0016104060043213957#perm=ABC,0.46537258835527573
1707594256.2195985,1,DefaultSurrogate,0,6,lr=0.0016104060043213957#perm=ABC,0.5467545826059845
1707594294.231439,1,DefaultSurrogate,0,7,lr=0.0016104060043213957#perm=ABC,0.5094521356669697
1707594332.4188552,1,DefaultSurrogate,0,8,lr=0.0016104060043213957#perm=ABC,0.6096270377970405
1707594370.4250546,1,DefaultSurrogate,0,9,lr=0.0016104060043213957#perm=ABC,0.5030787065425779
1707594410.434944,1,DefaultSurrogate,1,0,lr=0.005095192637789785#perm=BCA,1.1574998205931502
1707594448.6604674,1,DefaultSurrogate,1,1,lr=0.005095192637789785#perm=BCA,1.007717855931953
1707594486.8637693,1,DefaultSurrogate,1,2,lr=0.005095192637789785#perm=BCA,0.8934808622438181
1707594525.001222,1,DefaultSurrogate,1,3,lr=0.005095192637789785#perm=BCA,0.8721732402714646
1707594563.1697495,1,DefaultSurrogate,1,4,lr=0.005095192637789785#perm=BCA,0.812937969465694
1707594601.3694227,1,DefaultSurrogate,1,5,lr=0.005095192637789785#perm=BCA,0.9208892427132196
1707594639.576067,1,DefaultSurrogate,1,6,lr=0.005095192637789785#perm=BCA,0.6769581572669942
1707594678.0519369,1,DefaultSurrogate,1,7,lr=0.005095192637789785#perm=BCA,0.8033322286610505
1707594716.1771224,1,DefaultSurrogate,1,8,lr=0.005095192637789785#perm=BCA,0.7198163525068454
1707594754.3802469,1,DefaultSurrogate,1,9,lr=0.005095192637789785#perm=BCA,0.7262533950356156
1707594794.1698337,1,DefaultSurrogate,2,0,lr=0.01#perm=BCA,8.919550678448394
1707594832.307256,1,DefaultSurrogate,2,1,lr=0.01#perm=BCA,1.02893252597127
1707594870.4668496,1,DefaultSurrogate,2,2,lr=0.01#perm=BCA,1.0653089708256742
1707594908.5849304,1,DefaultSurrogate,2,3,lr=0.01#perm=BCA,0.8422870921888649
1707594946.723194,1,DefaultSurrogate,2,4,lr=0.01#perm=BCA,0.8879351319944643
1707594984.8890176,1,DefaultSurrogate,2,5,lr=0.01#perm=BCA,0.7827820388555273
1707595023.0481505,1,DefaultSurrogate,2,6,lr=0.01#perm=BCA,0.8391635152430368
1707595061.1982372,1,DefaultSurrogate,2,7,lr=0.01#perm=BCA,1.268730486525887
1707595099.292469,1,DefaultSurrogate,2,8,lr=0.01#perm=BCA,0.9399271876077597
1707595137.4383886,1,DefaultSurrogate,2,9,lr=0.01#perm=BCA,0.8254822158949356
1707595177.1222503,1,DefaultSurrogate,3,0,lr=0.01#perm=ABC,1.1814017295899888
1707595215.1946745,1,DefaultSurrogate,3,1,lr=0.01#perm=ABC,0.9426507208189873
1707595253.259534,1,DefaultSurrogate,3,2,lr=0.01#perm=ABC,0.8392114868932656
1707595291.2963507,1,DefaultSurrogate,3,3,lr=0.01#perm=ABC,0.8208310891690358
1707595329.5186386,1,DefaultSurrogate,3,4,lr=0.01#perm=ABC,0.879710805833224
1707595367.6216266,1,DefaultSurrogate,3,5,lr=0.01#perm=ABC,0.7958221476435434
1707595405.7474685,1,DefaultSurrogate,3,6,lr=0.01#perm=ABC,0.764368794639742
1707595443.7363074,1,DefaultSurrogate,3,7,lr=0.01#perm=ABC,0.7695412614950728
1707595481.7752779,1,DefaultSurrogate,3,8,lr=0.01#perm=ABC,0.7372253323963366
1707595519.8050182,1,DefaultSurrogate,3,9,lr=0.01#perm=ABC,0.7288995476760449
1707595559.5777278,1,DefaultSurrogate,4,0,lr=0.01#perm=ABC,1.1131498110897322
1707595597.4929333,1,DefaultSurrogate,4,1,lr=0.01#perm=ABC,1.0355385869994522
1707595635.511954,1,DefaultSurrogate,4,2,lr=0.01#perm=ABC,0.8238397451590111
1707595673.4759974,1,DefaultSurrogate,4,3,lr=0.01#perm=ABC,0.8317547149513168
1707595711.4141192,1,DefaultSurrogate,4,4,lr=0.01#perm=ABC,0.8353892478476118
1707595749.3824759,1,DefaultSurrogate,4,5,lr=0.01#perm=ABC,0.7599901525118243
1707595787.357688,1,DefaultSurrogate,4,6,lr=0.01#perm=ABC,0.7796286213687452
1707595825.3531988,1,DefaultSurrogate,4,7,lr=0.01#perm=ABC,0.7118138037126325
1707595863.4290173,1,DefaultSurrogate,4,8,lr=0.01#perm=ABC,0.7673103618677053
1707595901.3187697,1,DefaultSurrogate,4,9,lr=0.01#perm=ABC,0.7211044138300924
1707595941.2551053,1,DefaultSurrogate,5,0,lr=0.01#perm=ABC,1.342896325431124
1707595979.3272748,1,DefaultSurrogate,5,1,lr=0.01#perm=ABC,1.076199780790551
1707596017.3937073,1,DefaultSurrogate,5,2,lr=0.01#perm=ABC,0.9245933519129905
1707596055.5030508,1,DefaultSurrogate,5,3,lr=0.01#perm=ABC,0.788389852574415
1707596093.5991805,1,DefaultSurrogate,5,4,lr=0.01#perm=ABC,0.7423052382801113
1707596131.7233884,1,DefaultSurrogate,5,5,lr=0.01#perm=ABC,0.7227399602785793
1707596169.7258513,1,DefaultSurrogate,5,6,lr=0.01#perm=ABC,0.7530706309712436
1707596207.728991,1,DefaultSurrogate,5,7,lr=0.01#perm=ABC,0.7153786032568449
1707596245.9920115,1,DefaultSurrogate,5,8,lr=0.01#perm=ABC,0.7341076896870427
1707596284.0630164,1,DefaultSurrogate,5,9,lr=0.01#perm=ABC,0.7494903195685536
1707596323.93509,1,DefaultSurrogate,6,0,lr=0.01#perm=BCA,1.2543734496615013
1707596362.098656,1,DefaultSurrogate,6,1,lr=0.01#perm=BCA,1.0110484740844394
1707596400.312166,1,DefaultSurrogate,6,2,lr=0.01#perm=BCA,1.130803963099237
1707596438.5102613,1,DefaultSurrogate,6,3,lr=0.01#perm=BCA,0.8357331945334631
1707596476.6724215,1,DefaultSurrogate,6,4,lr=0.01#perm=BCA,0.8300833869690061
