time,rank,surrogate,generation,epoch,paramsID,avg_validation_loss
1707573377.4450827,0,DynamicSurrogate,0,0,conv_layers=8#activation=relu#lr=0.007436724172099663,0.7518892558841807
1707573409.6197946,0,DynamicSurrogate,0,1,conv_layers=8#activation=relu#lr=0.007436724172099663,0.14863063953244987
1707573441.6859553,0,DynamicSurrogate,0,2,conv_layers=8#activation=relu#lr=0.007436724172099663,0.0983354222577275
1707573473.8145995,0,DynamicSurrogate,0,3,conv_layers=8#activation=relu#lr=0.007436724172099663,0.07029930020267215
1707573505.7427711,0,DynamicSurrogate,0,4,conv_layers=8#activation=relu#lr=0.007436724172099663,0.07590220329561191
1707573537.8254128,0,DynamicSurrogate,0,5,conv_layers=8#activation=relu#lr=0.007436724172099663,0.04999727001658571
1707573569.8357036,0,DynamicSurrogate,0,6,conv_layers=8#activation=relu#lr=0.007436724172099663,0.04801064478687115
1707573601.8698277,0,DynamicSurrogate,0,7,conv_layers=8#activation=relu#lr=0.007436724172099663,0.05282159197185694
1707573633.8422663,0,DynamicSurrogate,0,8,conv_layers=8#activation=relu#lr=0.007436724172099663,0.0452743994451683
1707573665.7449925,0,DynamicSurrogate,0,9,conv_layers=8#activation=relu#lr=0.007436724172099663,0.06104994019014375
1707573697.616116,0,DynamicSurrogate,1,0,conv_layers=8#activation=sigmoid#lr=0.000418780050290302,2.306282072329521
1707574024.0193255,0,DynamicSurrogate,2,0,conv_layers=10#activation=sigmoid#lr=0.01,2.305569799351692
1707574351.9270787,0,DynamicSurrogate,3,0,conv_layers=10#activation=relu#lr=0.00907660854291114,2.3011997787475584
1707574379.847129,0,DynamicSurrogate,4,0,conv_layers=3#activation=sigmoid#lr=0.01,0.6834814915275667
1707574412.620406,0,DynamicSurrogate,5,0,conv_layers=9#activation=tanh#lr=0.01,0.22378829697509123
1707574445.49257,0,DynamicSurrogate,5,1,conv_layers=9#activation=tanh#lr=0.01,0.15780691183788015
1707574478.2078857,0,DynamicSurrogate,5,2,conv_layers=9#activation=tanh#lr=0.01,0.10678103175396533
1707574510.9430997,0,DynamicSurrogate,5,3,conv_layers=9#activation=tanh#lr=0.01,0.07991814055372619
1707574543.7643614,0,DynamicSurrogate,5,4,conv_layers=9#activation=tanh#lr=0.01,0.07998328215004198
1707574576.5740404,0,DynamicSurrogate,5,5,conv_layers=9#activation=tanh#lr=0.01,0.06152853877576995
1707574609.3818777,0,DynamicSurrogate,5,6,conv_layers=9#activation=tanh#lr=0.01,0.06415427540765646
1707574642.084967,0,DynamicSurrogate,5,7,conv_layers=9#activation=tanh#lr=0.01,0.04971650573309941
1707574674.9346485,0,DynamicSurrogate,5,8,conv_layers=9#activation=tanh#lr=0.01,0.049906315687227545
1707574707.763992,0,DynamicSurrogate,5,9,conv_layers=9#activation=tanh#lr=0.01,0.04511517336580217
1707574740.594876,0,DynamicSurrogate,6,0,conv_layers=9#activation=tanh#lr=0.01,0.2225292725340074
1707574773.494919,0,DynamicSurrogate,6,1,conv_layers=9#activation=tanh#lr=0.01,0.1827415394251207
1707574806.2706912,0,DynamicSurrogate,6,2,conv_layers=9#activation=tanh#lr=0.01,0.13073108913847512
1707574839.0702565,0,DynamicSurrogate,6,3,conv_layers=9#activation=tanh#lr=0.01,0.09184433279229044
