time,rank,surrogate,generation,epoch,paramsID,avg_validation_loss
1707594636.621812,1,DynamicSurrogate,0,0,lr=0.0016104060043213957#perm=ABC,0.7960228667191687
1707594674.1680334,1,DynamicSurrogate,0,1,lr=0.0016104060043213957#perm=ABC,0.6406671070439931
1707594711.7334597,1,DynamicSurrogate,0,2,lr=0.0016104060043213957#perm=ABC,0.5527806426162206
1707594749.2506034,1,DynamicSurrogate,0,3,lr=0.0016104060043213957#perm=ABC,0.6052866173964816
1707594786.750046,1,DynamicSurrogate,0,4,lr=0.0016104060043213957#perm=ABC,0.5947061729155505
1707594824.2945123,1,DynamicSurrogate,0,5,lr=0.0016104060043213957#perm=ABC,0.46537258835527573
1707594861.8724144,1,DynamicSurrogate,0,6,lr=0.0016104060043213957#perm=ABC,0.5467545826059845
1707594899.426469,1,DynamicSurrogate,0,7,lr=0.0016104060043213957#perm=ABC,0.5094521356669697
1707594936.9459968,1,DynamicSurrogate,0,8,lr=0.0016104060043213957#perm=ABC,0.6096270377970405
1707594974.4856737,1,DynamicSurrogate,0,9,lr=0.0016104060043213957#perm=ABC,0.5030787065425779
1707595016.0873897,1,DynamicSurrogate,1,0,lr=0.005095192637789785#perm=BCA,1.1574998205931502
1707595055.6511502,1,DynamicSurrogate,2,0,lr=0.01#perm=BCA,1.2813049634419171
1707595095.027308,1,DynamicSurrogate,3,0,lr=0.01#perm=ABC,1.1190226256479925
1707595134.5364385,1,DynamicSurrogate,4,0,lr=0.01#perm=ABC,1.1639871952141985
1707595173.9442189,1,DynamicSurrogate,5,0,lr=0.01#perm=ABC,1.5693194955003025
1707595213.495841,1,DynamicSurrogate,6,0,lr=0.01#perm=BCA,1.3870532003679164
1707595252.9103384,1,DynamicSurrogate,7,0,lr=0.01#perm=CBA,83.51856463813805
1707595292.285927,1,DynamicSurrogate,8,0,lr=0.01#perm=ACB,0.9143701783971057
1707595331.765256,1,DynamicSurrogate,9,0,lr=0.01#perm=ABC,1.1067150983474094
1707595371.3475783,1,DynamicSurrogate,10,0,lr=0.01#perm=BCA,1.2878742211561534
1707595410.6806793,1,DynamicSurrogate,11,0,lr=0.01#perm=ABC,1.1577114222668152
1707595450.1356583,1,DynamicSurrogate,12,0,lr=0.004544811546122538#perm=BAC,1.7253361566318606
1707595489.4968102,1,DynamicSurrogate,13,0,lr=0.01#perm=ABC,1.0719957229772175
1707595529.1097908,1,DynamicSurrogate,14,0,lr=0.01#perm=BCA,1.5065636131406297
1707595568.4787052,1,DynamicSurrogate,15,0,lr=0.01#perm=ABC,1.0041105396254126
1707595607.8740957,1,DynamicSurrogate,16,0,lr=0.01#perm=ACB,0.9352913996995341
1707595647.4249132,1,DynamicSurrogate,17,0,lr=0.007043801098732168#perm=ACB,1.0275475957125144
1707595687.060013,1,DynamicSurrogate,18,0,lr=0.01#perm=BCA,9.895627192853267
1707595726.8571937,1,DynamicSurrogate,19,0,lr=0.01#perm=BCA,1.2753178532970126
1707595766.6046112,1,DynamicSurrogate,20,0,lr=0.01#perm=BCA,1.7761077035098978
1707595806.1393461,1,DynamicSurrogate,21,0,lr=0.01#perm=ABC,1.2376225294666887
1707595845.7514324,1,DynamicSurrogate,22,0,lr=0.01#perm=BCA,4.224185202212414
1707595885.5020065,1,DynamicSurrogate,23,0,lr=0.01#perm=BCA,1.5881460485513281
1707595925.2037861,1,DynamicSurrogate,24,0,lr=0.01#perm=BCA,1.557548902483561
1707595964.7233045,1,DynamicSurrogate,25,0,lr=0.01#perm=ABC,1.1460329839846222
1707596004.4031708,1,DynamicSurrogate,26,0,lr=0.01#perm=ABC,1.198263536450653
1707596044.0502696,1,DynamicSurrogate,27,0,lr=0.01#perm=BCA,1.3135878296168415
1707596083.9002066,1,DynamicSurrogate,28,0,lr=0.01#perm=BCA,1.4736381780071184
1707596123.448896,1,DynamicSurrogate,29,0,lr=0.01#perm=ABC,1.2555153597350295
1707596163.1044006,1,DynamicSurrogate,30,0,lr=0.01#perm=ABC,1.8577125004550799
1707596202.8531582,1,DynamicSurrogate,31,0,lr=0.01#perm=BCA,1.345856336250277
