time,rank,surrogate,generation,epoch,paramsID,avg_validation_loss
1707565854.8888257,1,DefaultSurrogate,0,0,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.7131638661690056
1707565882.082336,1,DefaultSurrogate,0,1,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.35833125933807897
1707565909.2127643,1,DefaultSurrogate,0,2,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.3159825409090676
1707565936.344577,1,DefaultSurrogate,0,3,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.322783839471434
1707565963.420206,1,DefaultSurrogate,0,4,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.3055348975639284
1707565990.5362337,1,DefaultSurrogate,0,5,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.31749323779502336
1707566017.5799577,1,DefaultSurrogate,0,6,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.2962134028867327
1707566044.607223,1,DefaultSurrogate,0,7,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.27704693556362125
1707566071.688267,1,DefaultSurrogate,0,8,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.27378231566369465
1707566098.7986057,1,DefaultSurrogate,0,9,conv_layers=3#activation=sigmoid#lr=0.008832604833656495,0.2583301803524587
1707566177.9801335,1,DefaultSurrogate,1,0,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.22212386313790486
1707566209.8990178,1,DefaultSurrogate,1,1,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.20652016978293342
1707566241.9782553,1,DefaultSurrogate,1,2,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.17733729224248804
1707566274.0913546,1,DefaultSurrogate,1,3,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.14462683231533013
1707566306.1512082,1,DefaultSurrogate,1,4,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.12226454751235899
1707566338.2184699,1,DefaultSurrogate,1,5,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.10151459582974327
1707566370.3192203,1,DefaultSurrogate,1,6,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.09659166757608838
1707566402.4508808,1,DefaultSurrogate,1,7,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.08180291241010769
1707566434.606418,1,DefaultSurrogate,1,8,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.10290671530390857
1707566466.7468128,1,DefaultSurrogate,1,9,conv_layers=9#activation=tanh#lr=0.006241809289095095,0.06846405730947996
1707566498.1650674,1,DefaultSurrogate,2,0,conv_layers=8#activation=tanh#lr=0.01,0.2407480927874206
1707566529.3690073,1,DefaultSurrogate,2,1,conv_layers=8#activation=tanh#lr=0.01,0.15054400868041834
1707566560.796692,1,DefaultSurrogate,2,2,conv_layers=8#activation=tanh#lr=0.01,0.10402498518398788
1707566591.9940572,1,DefaultSurrogate,2,3,conv_layers=8#activation=tanh#lr=0.01,0.08563321143653299
1707566623.2237704,1,DefaultSurrogate,2,4,conv_layers=8#activation=tanh#lr=0.01,0.071744858679063
1707566654.5138252,1,DefaultSurrogate,2,5,conv_layers=8#activation=tanh#lr=0.01,0.06411475147356759
1707566685.6639333,1,DefaultSurrogate,2,6,conv_layers=8#activation=tanh#lr=0.01,0.05905849191591086
1707566716.9839106,1,DefaultSurrogate,2,7,conv_layers=8#activation=tanh#lr=0.01,0.05615635902784485
1707566748.2231529,1,DefaultSurrogate,2,8,conv_layers=8#activation=tanh#lr=0.01,0.0524543620090096
1707566779.4743872,1,DefaultSurrogate,2,9,conv_layers=8#activation=tanh#lr=0.01,0.04758326656398443
1707566830.3317332,1,DefaultSurrogate,3,0,conv_layers=9#activation=tanh#lr=0.01,0.20755676291998698
1707566862.4104342,1,DefaultSurrogate,3,1,conv_layers=9#activation=tanh#lr=0.01,0.1739644189101659
1707566894.3053813,1,DefaultSurrogate,3,2,conv_layers=9#activation=tanh#lr=0.01,0.14892163761848132
1707566926.2503836,1,DefaultSurrogate,3,3,conv_layers=9#activation=tanh#lr=0.01,0.12169576080811298
1707566958.2780368,1,DefaultSurrogate,3,4,conv_layers=9#activation=tanh#lr=0.01,0.1054345197898303
1707566990.2963867,1,DefaultSurrogate,3,5,conv_layers=9#activation=tanh#lr=0.01,0.08162441925510465
1707567022.3619056,1,DefaultSurrogate,3,6,conv_layers=9#activation=tanh#lr=0.01,0.06971383825947589
1707567054.3148737,1,DefaultSurrogate,3,7,conv_layers=9#activation=tanh#lr=0.01,0.059423056541017094
1707567086.363078,1,DefaultSurrogate,3,8,conv_layers=9#activation=tanh#lr=0.01,0.0684449565017059
